Town_Town,PILOT StateOwned Real Property_FY 2017,PILOT StateOwned Real Property_FY 2018,PILOT Colleges  Hospitals_FY 2017,PILOT Colleges  Hospitals_FY 2018,Mashantucket Pequot And Mohegan Fund Grant_FY 2017,Mashantucket Pequot And Mohegan Fund Grant_FY 2018,Adult Education_FY 2017,Adult Education_FY 2018,Education Cost Sharing_FY 2017,Education Cost Sharing_FY 2018,MRSA Municipal Revenue Sharing Grant_FY 2017,MRSA Municipal Revenue Sharing Grant_FY 2018,MRSA Additional Payment in Lieu of Taxes_FY 2017,MRSA Additional Payment in Lieu of Taxes_FY 2018,MRSA Motor Vehicle Property Tax Grants_FY 2017,MRSA Motor Vehicle Property Tax Grants_FY 2018,TOTAL Statutory Formula Aid_FY 2017,TOTAL Statutory Formula Aid_FY 2018
Washington,"6,117",0,0,0,"8,741",0,0,0,"50,646","29,500","25,496","36,701",0,0,0,0,"91,000","66,201"
Waterbury,"3,896,947",0,"5,404,535",0,"2,915,126",0,"1,910,140","1,894,809","133,606,066","150,845,253","13,438,542","5,595,448","3,141,669","3,284,145",0,"11,801,968","164,313,025","173,421,623"
Waterford,"122,408",0,"61,523",0,"42,601",0,"12,576","11,697","321,279",0,"259,091","372,956",0,0,0,0,"819,478","384,653"
Watertown,"15,917",0,0,0,"75,186",0,"4,787","4,768","11,753,175","6,305,493","453,012","652,100",0,0,0,0,"12,302,077","6,962,361"
West Hartford,0,0,"961,435",0,"197,475",0,"69,469","72,142","20,961,352","4,333,681","1,614,320","2,075,223","202,308","211,483",0,"2,506,040","24,006,359","9,198,569"
West Haven,0,0,"5,008,541",0,"969,932",0,"210,626","206,749","45,140,487","42,872,205","1,121,850","1,614,877","324,832","339,563",0,"2,255,190","52,776,268","47,288,584"
Westbrook,0,0,0,0,"16,186",0,"1,564","1,211","70,393",0,"80,601","116,023",0,0,0,0,"168,744","117,234"
Weston,0,0,0,0,"9,059",0,80,80,"263,431",0,"211,384","304,282",0,0,0,0,"483,954","304,362"
Westport,"365,527",0,"172,387",0,"26,621",0,235,155,"465,334",0,"262,402","377,722",0,0,0,0,"1,292,506","377,877"
Wethersfield,"107,242",0,"8,592",0,"209,154",0,"29,758","31,155","9,348,852","7,744,418","940,267","1,353,493",0,0,0,"933,484","10,643,865","10,062,550"
Willington,"17,136",0,0,0,"33,250",0,0,0,"3,637,161","1,882,501","121,568","174,995",0,0,0,0,"3,809,115","2,057,496"
Wilton,330,0,0,0,"10,862",0,174,145,"462,941",0,"380,234","547,338",0,0,0,0,"854,541","547,483"
Winchester,"31,191",0,"40,379",0,"78,447",0,"10,994","10,628","8,024,957","5,491,737","224,447","323,087",0,0,0,0,"8,410,415","5,825,452"
Windham,"2,795,180",0,"625,611",0,"857,889",0,"280,211","276,729","26,582,071","27,541,140","513,847","739,671","1,193,950","1,248,096",0,"1,189,751","32,848,759","30,995,387"
Windsor,0,0,0,0,"71,844",0,"57,019","58,218","12,130,392","3,107,413","593,921","854,935","9,241","9,660",0,0,"12,862,417","4,030,226"
